Matrícula,Nome,Vínculo,Cargo,Lotação,Total
60178,ACRISIO TAJRA DE FIGUEIREDO,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
55700,ADELINA LUIZA MOREIRA SILVA E SILVA,Magistrados,Juiz(a) de 3ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DISTRITAL DE ICOARACI,1
37820,ADELINO ARRAIS GOMES DA SILVA,Magistrados,Juiz(a) de 2ª Entrancia,VARA DA FAZENDA PUBLICA DA COMARCA DE ANANINDEUA,1
204056,ADOLFO DO CARMO JUNIOR,Magistrados,Juiz(a) Substituto(a),TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
60160,ADRIANA DIVINA DA COSTA TRISTAO,Magistrados,Juiz(a) de 3ª Entrancia,1ª VARA DO JUIZADO ESPECIAL CIVEL E CRIMINAL DE MARABA,1
149357,ADRIANA GRIGOLIN LEITE,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE SAO DOMINGOS DO CAPIM,1
113573,ADRIANA KARLA DINIZ GOMES DA COSTA,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CRIMINAL DA COMARCA DE PARAUAPEBAS,1
82678,ADRIANO FARIAS FERNANDES,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE ABAETETUBA,1
29300,ADRIANO GUSTAVO VEIGA SEDUVIM,Magistrados,Juiz(a) de 3ª Entrancia,2ª VARA DE EXECUCAO FISCAL DA COMARCA DE BELEM,1
197122,ADRIELLI APARECIDA CARDOZO BELTRAMINI,Magistrados,Juiz(a) Substituto(a),TRIBUNAL DE JUSTICA DO ESTADO,1
149314,AGENOR CASSIO NASCIMENTO CORREIA DE ANDRADE,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE PARAGOMINAS,1
60097,AIDISON CAMPOS SOUSA,Magistrados,Juiz(a) de 3ª Entrancia,2ª VARA DO JUIZADO ESPECIAL CIVEL E CRIMINAL DE MARABA,1
37030,ALAN RODRIGO CAMPOS MEIRELES,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE CAPANEMA,1
5169,ALDA GESSYANE MONTEIRO DE SOUZA TUMA,Magistrados,Juiz(a) de 3ª Entrancia,GABINETE DA JUIZA CONVOCADA ALDA GESSYANE MONTEIRO DE SOUZA TUMA,1
60100,ALDINEIA MARIA MARTINS BARROS,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE MARITUBA,1
30198,ALESSANDRA ISADORA VIEIRA MARQUES,Magistrados,Juiz(a) de 3ª Entrancia,7ª VARA DO JUIZADO ESPECIAL CIVEL DE BELEM,1
149322,ALESSANDRA ROCHA DA SILVA SOUZA,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CRIMINAL DA COMARCA DE MARABA,1
37000,ALESSANDRO OZANAN,Magistrados,Juiz(a) de 3ª Entrancia,1ª VARA DO JUIZADO ESPECIAL CIVEL DE BELEM,1
214353,ALEX PINHEIRO CENTENO,Magistrados,Desembargador(a),GABINETE DO DES. ALEX PINHEIRO CENTENO,1
70718,ALEXANDRE HIROSHI ARAKAKI,Magistrados,Juiz(a) de 3ª Entrancia,VARA DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER DA COMARCA DE MARABA,1
82660,ALEXANDRE JOSE CHAVES TRINDADE,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO,1
82686,ALEXANDRE RIZZI,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CRIMINAL DA COMARCA DE SANTAREM,1
37040,ALINE CORREA SOARES,Magistrados,Juiz(a) de 3ª Entrancia,1ª VARA DE FAMILIA DA COMARCA DE BELEM,1
86134,ALINE CRISTINA BREIA MARTINS,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
190365,ALINE CYSNEIROS LANDIM BARBOSA DE MELO,Magistrados,Juiz(a) de 2ª Entrancia,3ª VARA CIVEL E EMPRESARIAL DA COMARCA DE ALTAMIRA,1
151181,ALVARO JOSE DA SILVA SOUSA,Magistrados,Juiz(a) de 2ª Entrancia,VARA CRIMINAL DA COMARCA DE BARCARENA,1
2313,ALVARO JOSE NORAT DE VASCONCELOS,Magistrados,Desembargador(a),GABINETE DO DES. ALVARO JOSE NORAT DE VASCONCELOS,1
2410,AMILCAR ROBERTO BEZERRA GUIMARAES,Magistrados,Desembargador(a),GABINETE DO DES. AMILCAR ROBERTO BEZERRA GUIMARAES,1
7919,ANA ANGELICA ABDULMASSIH OLEGARIO,Magistrados,Juiz(a) de 3ª Entrancia da Turma Recursal,CORREGEDORIA GERAL DE JUSTICA,1
190101,ANA BEATRIZ GONCALVES DE CARVALHO,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CUMULATIVA DA COMARCA DE BREVES,1
149420,ANA LOUISE RAMOS DOS SANTOS,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE CASTANHAL,1
5266,ANA LUCIA BENTES LYNCH,Magistrados,Juiz(a) de 3ª Entrancia da Turma Recursal,COORDENADORIA DOS JUIZADOS ESPECIAIS,1
25208,ANA PATRICIA NUNES ALVES FERNANDES,Magistrados,Juiz(a) de 3ª Entrancia da Turma Recursal,GABINETE DA JUIZA ANA PATRICIA NUNES ALVES FERNANDES DA 1ª TRPJE,1
116521,ANA PRISCILA DA CRUZ DIAS,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE REDENCAO,1
2615,ANA SELMA DA SILVA TIMOTEO,Magistrados,Juiz(a) de 3ª Entrancia,12ª VARA DO JUIZADO ESPECIAL CIVEL DE BELEM,1
149195,ANDRE DOS SANTOS CANTO,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA DE FAMILIA DA COMARCA DE ANANINDEUA,1
36840,ANDRE LUIZ FILO CREAO GARCIA DA FONSECA,Magistrados,Juiz(a) de 3ª Entrancia,CORREGEDORIA GERAL DE JUSTICA,1
116599,ANDRE MONTEIRO GOMES,Magistrados,Juiz(a) de 2ª Entrancia,VARA DO JUIZADO ESPECIAL CRIMINAL DE ANANINDEUA,1
190535,ANDRE PAULO ALENCAR SPINDOLA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE GOIANESIA DO PARA,1
158542,ANDRE SOUZA DOS ANJOS,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE CURRALINHO,1
153842,ANDREA APARECIDA DE ALMEIDA LOPES,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE MARABA,1
8206,ANDREA CRISTINE CORREA RIBEIRO,Magistrados,Juiz(a) de 3ª Entrancia,3ª VARA DO JUIZADO ESPECIAL CIVEL DE BELEM,1
37010,ANDREA FERREIRA BISPO,Magistrados,Juiz(a) de 3ª Entrancia,6ª VARA CRIMINAL DA COMARCA DE BELEM,1
27367,ANDREA LOPES MIRALHA,Magistrados,Juiz(a) de 3ª Entrancia,VARA DE EXECUCAO DAS PENAS E MEDIDAS ALTERNATIVAS DA COMARCA DE BELEM,1
136581,ANDREW MICHEL FERNANDES FREIRE,Magistrados,Juiz(a) de 2ª Entrancia,VARA CRIMINAL DA COMARCA DE BRAGANCA,1
148989,ANDREY MAGALHAES BARBOSA,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE ANANINDEUA,1
233307,ANETE MARQUES PENNA DE CARVALHO,Magistrados,Desembargador(a),GABINETE DA DESA. ANETE MARQUES PENNA DE CARVALHO,1
91090,ANGELA GRAZIELA ZOTTIS,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE AUGUSTO CORREA,1
24503,ANTONIETA MARIA FERRARI MILEO,Magistrados,Desembargador(a),GABINETE DA DESA. ANTONIETA MARIA FERRARI MILEO,1
37840,ANTONIO CARLOS DE SOUZA MOITTA KOURY,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE SALINOPOLIS,1
2712,ANTONIO CLAUDIO VON LOHRMANN CRUZ,Magistrados,Juiz(a) de 3ª Entrancia,VARA DA INFANCIA E JUVENTUDE DISTRITAL DE ICOARACI,1
82694,ANTONIO FERNANDO DE CARVALHO VILAR,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE PONTA DE PEDRAS,1
82708,ANTONIO JOSE DOS SANTOS,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE SAO GERALDO DO ARAGUAIA,1
82716,ANUZIA DIAS DA COSTA,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE BENEVIDES,1
136557,ARNALDO JOSE PEDROSA GOMES,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE IGARAPE-MIRI,1
37880,AUGUSTO BRUNO DE MORAES FAVACHO,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE BARCARENA,1
