Matrícula,Atuando em,Movimentação
204153,1 CEJUSC de Xinguara,Respondendo
55824,10ª Vara Civel e Empresarial da Comarca de Belem,Respondendo
24490,10ª Vara Criminal da Comarca de Belem,Titular
24392,10ª Vara do Juizado Especial Civel de Belem,Titular
55786,11ª Vara Civel e Empresarial da Comarca de Belem,Titular
37930,11ª Vara do Juizado Especial Civel de Belem,Titular
37240,12ª Vara Civel e Empresarial da Comarca de Belem,Respondendo
2615,12ª Vara do Juizado Especial Civel de Belem,Titular
8001,13ª Vara Civel e Empresarial da Comarca de Belem,Titular
25739,14ª Vara Civel e Empresarial da Comarca de Belem,Titular
116220,15ª Vara Civel e Empresarial da Capital,Titular
1341,1ª Turma de Direito Penal,
49000,1ª Turma de Direito Penal,
8060,1ª Turma de Direito Penal,
132,1ª Turma de Direito Privado,
214353,1ª Turma de Direito Privado,
24503,1ª Turma de Direito Privado,
329,1ª Turma de Direito Privado,
9407,1ª Turma de Direito Publico,
148962,1ª Vara Civel da Comarca de Rondon do Para,Titular
82678,1ª Vara Civel e Empresarial da Comarca de Abaetetuba,Titular
197025,1ª Vara Civel e Empresarial da Comarca de Altamira,Substituindo
148989,1ª Vara Civel e Empresarial da Comarca de Ananindeua,Substituindo
149152,1ª Vara Civel e Empresarial da Comarca de Barcarena,Titular
151181,1ª Vara Civel e Empresarial da Comarca de Barcarena,Substituindo
48615,1ª Vara Civel e Empresarial da Comarca de Belem,Substituindo
82716,1ª Vara Civel e Empresarial da Comarca de Benevides,Titular
149381,1ª Vara Civel e Empresarial da Comarca de Braganca,Titular
116386,1ª Vara Civel e Empresarial da Comarca de Canaa dos Carajas,Titular
113425,1ª Vara Civel e Empresarial da Comarca de Capanema,Titular
149420,1ª Vara Civel e Empresarial da Comarca de Castanhal,Titular
204072,1ª Vara Civel e Empresarial da Comarca de Castanhal,
190306,1ª Vara Civel e Empresarial da Comarca de Itaituba,Titular
151131,1ª Vara Civel e Empresarial da Comarca de Maraba,Respondendo
197122,1ª Vara Civel e Empresarial da Comarca de Marituba,Substituindo
60100,1ª Vara Civel e Empresarial da Comarca de Marituba,Titular
113638,1ª Vara Civel e Empresarial da Comarca de Paragominas,Titular
