Matrícula,Código,Cargo/Função
119393,CJI,Chefe da Unidade Local de Arrecadacao - Porto de Moz
130125,CJI,Chefe da Unidade Local de Arrecadacao - Senador Jose Porfirio
131741,CJI,Chefe da Unidade Local de Arrecadacao - Pacaja
141046,CJI,Chefe da Unidade Local de Arrecadacao - Limoeiro do Ajuru
151491,CJI,Chefe da Unidade Local de Arrecadacao - Faro
155055,CJI,Chefe da Unidade Local de Arrecadacao - Ourilandia do Norte
159727,CJS-2,Assessor de Juiz da Vara Criminal de Abaetetuba
167363,CJS-3,Diretor de Secretaria
173835,CJS-3,Secretario do Nucleo de Mediacao de Conflitos
177148,CJI,Chefe da Unidade Local de Arrecadacao - Chaves
18040,CJS-3,Diretor de Secretaria da Vara Unica de Pacaja
225037,CJS-3,Assessor Tecnico da Presidencia
25380,CJI,Chefe da Unidade Local de Arrecadacao - Peixe Boi
88749,FG-1,Chefe do Servico de Protocolo Civel
