Matrícula,Código,Cargo/Função
100285,CJI,Assistente de Desembargador
108987,CJI,Assistente de Desembargador
112810,CJS-3,Assessor de Juiz Auxiliar da Presidencia
112836,CJS-6,Coordenador de Gabinete
113026,CJI,Assistente de Desembargador
113042,CJI,Assistente de Desembargador
113158,CJS-6,Assessor de Desembargador
124559,CJI,Assistente de Desembargador
127060,CJS-6,Coordenador de Gabinete
129267,CJS-4,Assessor da Coordenadoria de Recursos Extraordinarios e Especiais
129275,CJS-4,Assessor Juridico da Secretaria Judiciaria
129399,CJI,Assistente de Desembargador
135054,CJS-6,Assessor de Desembargador
135828,CJI,Assistente de Desembargador
137227,CJS-4,Assessor Juridico da Coordenadoria de Recursos Extraordinarios e Especiais
137618,CJS-6,Coordenador de Gabinete
138517,CJS-6,Assessor de Desembargador
138525,CJS-6,Assessor de Desembargador
138622,CJS-6,Assessor de Desembargador
139424,CJS-6,Coordenador de Gabinete
140066,CJI,Assistente de Desembargador
140279,CJI,Assistente de Desembargador
140635,CJS-6,Assessor de Desembargador
143065,CJI,Assistente de Desembargador
147656,CJI,Assistente de Desembargador
148890,CJS-6,Coordenador de Gabinete
148911,CJS-6,Assessor de Desembargador
148971,CJS-4,Assessor Juridico - CI
149021,CJS-6,Assessor de Desembargador
149471,CJS-6,Assessor de Desembargador
149535,CJS-6,Assessor de Desembargador
149659,CJS-6,Assessor de Desembargador
149667,CJS-6,Assessor de Desembargador
149691,CJI,Assistente de Desembargador
149861,CJS-6,Assessor de Desembargador
150355,CJS-6,Assessor de Desembargador
150541,CJI,Assistente de Desembargador
150771,CJS-6,Assessor de Desembargador
151459,CJS-6,Coordenador de Gabinete
151556,CJS-6,Assessor(a) de Desembargador(a)
154075,CJI,Assistente de Desembargador
154458,CJS-6,Coordenador de Gabinete
154512,CJS-6,Coordenador de Gabinete
154741,CJS-4,Assessor Juridico da Secretaria Judiciaria
155446,CJS-6,Assessor de Desembargador
159298,CJS-6,Assessor de Desembargador
159395,CJI,Assistente de Desembargador
161306,CJS-6,Assessor de Desembargador
164224,CJS-6,Assessor de Desembargador
167894,CJS-6,Assessor de Desembargador
168301,CJI,Assistente de Desembargador
169714,CJS-6,Assessor de Desembargador
174319,CJS-6,Assessor(a) de Desembargador(a)
174491,CJI,Assistente de Desembargador
174556,CJI,Assistente de Desembargador
174602,CJS-6,Assessor de Desembargador
174637,CJS-6,Assessor(a) de Desembargador(a)
178063,CJS-6,Assessor de Desembargador
182095,CJS-6,Assessor de Desembargador
186082,CJS-6,Assessor de Desembargador
186155,CJS-6,Assessor de Desembargador
186228,CJI,Assistente de Desembargador
186821,CJS-6,Coordenador de Gabinete
189758,CJS-6,Assessor de Desembargador
191655,CJS-6,Coordenador de Gabinete
192571,CJS-4,Assessor da Coordenadoria de Recursos Extraordinarios e Especiais
19402,CJS-6,Assessor de Desembargador
196096,CJS-6,Assessor de Desembargador
196860,CJS-6,Assessor de Desembargador
199125,CJI,Assistente de Desembargador
199192,CJS-6,Assessor de Desembargador
199991,CJS-6,Coordenador de Gabinete
200212,CJI,Assistente da Coordenadoria de Recursos Extraordinarios e Especiais
200263,CJI,Assistente de Desembargador
20028,CJS-6,Assessor de Desembargador
200387,CJS-6,Assessor de Desembargador
200565,CJS-6,Assessor de Desembargador
204234,CJI,Assistente de Desembargador
205931,CJS-6,Assessor de Desembargador
208337,CJI,Assistente de Desembargador
208574,CJS-4,Assessor da Coordenadoria de Recursos Extraordinarios e Especiais
208825,CJS-6,Assessor(a) de Desembargador(a)
208892,CJS-6,Assessor(a) de Desembargador(a)
209082,CJS-6,Assessor de Desembargador
209121,CJI,Assistente de Desembargador
209147,CJI,Assistente de Desembargador
209295,CJS-6,Coordenador de Gabinete
209384,CJI,Assistente de Desembargador
211052,CJI,Assistente de Desembargador
211290,CJS-6,Coordenador de Gabinete
211893,CJS-6,Assessor de Desembargador
214434,CJI,Assistente de Desembargador
214671,CJS-2,Assessor de Juiz da 1ª Vara do Tribunal do Juri de Belem
214761,CJI,Assistente de Desembargador
216119,CJS-4,Assessor Juridico da Coordenadoria de Recursos Extraordinarios e Especiais
216143,CJI,Assistente de Desembargador
216160,CJI,Assistente de Desembargador
216321,CJS-6,Assessor de Desembargador
219207,CJI,Assistente de Desembargador
222496,CJS-6,Coordenador de Gabinete
223239,CJS-6,Assessor de Desembargador
223522,CJI,Assistente de Desembargador
223760,CJI,Assistente de Desembargador
226351,CJI,Assistente de Desembargador
228486,CJI,Assistente de Desembargador
228575,CJI,Assistente de Desembargador
