Matrícula,Código,Cargo/Função
101397,CJS-6,Coordenador de Gabinete
102067,CJS-3,Chefe da Divisao de Apoio Tecnico e Juridico da Coordenadoria de Precatorios
103365,CJS-6,Assessor(a) de Desembargador(a)
103420,CJS-6,Assessor(a) de Desembargador
103616,CJS-6,Coordenador(a) de Gabinete
103691,CJS-6,Assessor(a) de Desembargador(a)
104442,CJI,Assistente de Desembargador
104507,CJS-6,Assessor de Desembargador
105180,CJS-6,Assessor de Desembargador
107476,CJS-6,Assessor de Desembargador
107590,CJS-6,Coordenador de Gabinete
107638,CJS-6,Assessor(a) de Desembargador(a)
108502,CJS-6,Assessor de Desembargador
109291,CJS-6,Assessor de Desembargador
109649,CJI,Assistente de Desembargador
110124,FG-2,Chefe do Servico de Analise de Processos
110248,CJS-6,Assessor de Desembargador
111848,CJS-6,Assessor de Desembargador
111988,CJS-5,Coordenador de Recursos Extraordinarios e Especiais
112771,CJS-6,Assessor de Desembargador
116611,CJS-6,Assessor de Desembargador
116670,CJS-6,Coordenador de Gabinete
116823,CJS-4,Assessor Juridico da Coordenadoria de Recursos Extraordinarios e Especiais
116921,CJS-6,Assessor de Desembargador
118281,CJI,Assistente de Desembargador
121126,CJS-6,Assessor de Desembargador
121274,CJI,Assistente de Desembargador
12130,CJS-7,Secretario das Secoes de Direito Publico e Direito Privado
122068,CJS-6,Assessor de Desembargador
124150,CJS-6,Assessor de Desembargador
125296,CJS-6,Assessor de Desembargador
125407,CJS-6,Assessor de Desembargador
125997,CJS-6,Coordenador do Nucleo de Cumprimento-UPJ Turmas de Dir Pub e de Dir Privado (Sec4CCIso)
126560,CJS-6,Assessor de Desembargador
143197,CJS-6,Assessor de Desembargador
143235,CJS-6,Assessor de Desembargador
143839,CJS-6,Assessor(a) de Desembargador(a)
143995,CJS-3,Assessor de Juiz Auxiliar da Presidencia
144371,CJI,Assistente de Desembargador
152358,CJS-6,Assessor de Desembargador
158216,CJS-6,Assessor de Desembargador
160521,FG-2,Chefe do Servico de Apoio a Central de Conciliacao de Precatorios
160792,CJS-6,Assessor de Desembargador
168319,CJI,Assistente de Desembargador
169650,CJS-6,Assessor de Desembargador
170089,CJS-6,Assessor de Desembargador
171191,CJI,Assistente de Desembargador
171930,CJS-6,Assessor de Desembargador
172138,CJS-6,Assessor de Desembargador
172391,CJS-6,Assessor de Desembargador
172651,CJS-6,Assessor de Desembargador
172910,CJS-6,Assessor de Desembargador
173185,CJS-6,Assessor de Desembargador
174238,CJS-6,Assessor de Desembargador
189359,CJS-4,Assessor Juridico da Coordenadoria de Recursos Extraordinarios e Especiais
190918,CJS-6,Assessor de Desembargador
190951,CJS-6,Assessor(a) de Desembargador(a)
191973,CJI,Assistente de Desembargador
19577,CJS-3,Coordenador da Central de Mandados do 2 Grau
203947,CJS-6,Assessor de Desembargador
209210,CJS-6,Coordenador de Gabinete
217042,CJI,Assistente de Desembargador
22519,CJS-5,Chefe da Central de Distribuicao do 2º Grau
225738,CJI,Assistente de Desembargador
22985,CJS-6,Assessor de Desembargador
23523,CJS-7,Secretario da Secao de Direito Penal
23841,CJS-6,Assessor de Desembargador
24414,CJS-6,Coordenador do Nucleo de Cumprimento e de Sessoes de Julgamento- UPJ Dir Penal (Sec3TDPenal)
25305,FG-1,Chefe do Servico de Feitos Administrativos
26409,CJS-4,Assessor de Plenario
34530,CJS-6,Assessor de Desembargador
34703,CJS-6,Assessor de Desembargador
36490,CJS-4,Coordenador de Precatorios
4065,CJS-6,Secretario do Nucleo de Atendimento-UPJ Turmas de Dir Publico e de Dir Privado (Sec2CCIso)
41430,CJS-3,Chefe da Divisao de Taquigrafia
41750,CJS-6,Assessor de Desembargador
48801,CJI,Assistente de Desembargador
52990,CJS-6,Assessor de Desembargador
53708,CJS-6,Assessor de Desembargador
56618,CJS-6,Assessor(a) de Desembargador(a)
56871,CJS-6,Secretario Geral da UPJ das Turmas de Direito Penal (Sec2TDPenal)
58971,CJS-6,Assessor de Desembargador
59234,CJS-6,Coordenador de Gabinete
61409,CJS-6,Assessor(a) de Desembargador(a)
61581,CJS-6,Assessor de Desembargador
62294,CJS-6,Secretario Adjunto da Secretaria Judiciaria
63185,CJS-6,Coordenador do Nucleo de Atendimento e Movimentacao Processual - UPJ Dir Penal (Sec1TDPenal)
63908,CJS-4,Assessor Juridico da Secretaria Judiciaria
63924,CJS-6,Assessor de Desembargador
64947,CJS-6,Coordenador do Nucleo de Movimentacao-UPJ Turmas de Dir Pub e de Dir Privado (Sec5CCIso)
64980,CJS-6,Assessor de Desembargador
65056,CJS-6,Assessor de Desembargador
65072,CJS-4,Assessor da Coordenadoria de Recursos Extraordinarios e Especiais
67172,CJS-6,Coordenador de Gabinete
67806,FG-1,Secretario da Vice-Presidencia
70580,CJS-6,Secretario Geral - UPJ Turmas de Dir Publico e de Dir Privado (Sec1CCivIso)
71366,CJS-6,Assessor de Desembargador
78751,CJS-6,Assessor(a) de Desembargador(a)
78859,CJS-6,Assessor de Desembargador
78913,CJS-6,Assessor de Desembargador
79022,CJS-6,Coordenador(a) de Gabinete
83810,FG-2,Chefe do Servico de Calculo
91464,CJS-6,Assessor de Desembargador
9156,CJS-6,Secretario do Nucleo de Sessoes de Julgamento-UPJ Turmas de Dir Pub e de Dir Privado (Sec3CCIso)
91588,CJS-6,Assessor(a) de Desembargador(a)
93271,CJS-6,Assessor de Desembargador
94153,CJS-6,Assessor(a) de Desembargador(a)
