Matrícula,Código,Cargo/Função
100765,FG-2,"Chefe de Servico de Registro, Acompanhamento e Controle da Atividade Extrajudicial - CGJ"
102474,FG-2,Chefe do Servico Medico
104426,FG-2,Chefe de Servico de Conformidade de Processos de TIC
104434,CJS-4,"Assessor do Departamento de Planejamento, Gestao e Estatistica"
105635,CJS-3,Chefe de Divisao de Arquitetura de Tecnologia da Informacao e Comunicacao
105864,FG-2,Chefe do Servico de Informatica da EJPA
107565,FG-2,Chefe do Servico de Concessao de Diarias e Passagens Aereas
109444,FG-2,Chefe do Servico de Editoracao e Pesquisa - EJPA
111228,CJS-6,Secretario Adjunto da Secretaria de Gestao de Pessoas
111422,FG-2,Chefe do Servico de Aposentados e Pensionistas
112500,CJS-4,Assessor(a)
112674,CJS-3,Chefe de Divisao de Atendimento e Central de Negocios
113239,FG-2,Chefe do Servico de Acompanhamento de Execucao Orcamentaria
11614,FG-2,Chefe do Servico de Atendimento ao Publico
116424,CJS-4,Coordenador Geral de Arrecadacao
116513,FG-2,Chefe do Servico de Manutencão de Ativos Tecnologicos
116581,CJS-4,Assessor Juridico da Central de Distribuicao do 2º Grau
116955,FG-2,Chefe de Servico de Suporte Tecnologico a Eventos e Audiencias
117889,CJS-3,Chefe da Divisao de Fiscalizacao e Monitoramentos
11940,FG-2,Chefe do Servico Operacional de Contabilidade
121185,FG-2,Chefe do Servico de Fiscalizacao de Contratos
121622,CJS-3,Chefe da Divisao Financeira
123005,CJS-4,Coordenador de Convenios e Contratos
123030,CJS-8,Secretario(a) de Tecnologia da Informacao e Comunicacao
123935,CJS-3,Assessor Tecnico da Secretaria de Administracao
124052,CJS-4,Assessor Juridico Administrativo da Secretaria de Administracao
124141,CJS-3,Assessor da Divisao de Apoio Tecnico Juridico
125750,FG-2,Chefe do Servico de Empenho e Credito
126322,FG-2,Chefe do Servico de Ensino e Pesquisa - EJPA
12874,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
143316,CJS-5,Diretor do Departamento Financeiro
143553,FG-2,Chefe do Servico de Manutencao Predial
