Matrícula,Código,Cargo/Função
101206,CJS-3,Chefe da Divisao de Informacao e Protocolo
108995,CJS-3,Assessor Tecnico da Presidencia
112046,CJS-5,Diretor do Departamento de Comunicacao
112186,CJS-4,"Assessor do Departamento de Planejamento, Gestao e Estatistica"
112267,CJS-3,Assessor Administrativo da Coordenadoria de Cerimonial
112798,CJS-3,Chefe da Divisao de Cursos e Programacao - EJPA
112844,CJS-3,Chefe da Divisao de Manutencao
112895,CJS-5,Diretor do Departamento Administrativo / Financeiro - EJPA
112950,CJS-4,Assessor de Cerimonial
113034,CJS-4,Assessor Tecnico da Coordenadoria de Saude
113166,CJS-4,Assessor dos Juizados Especiais
120855,CJS-3,Assessor Tecnico Administrativo da Secretaria de Gestao de Pessoas
123056,CJI,Assistente da Secretaria de Engenharia e Arquitetura
126471,CJI,Assistente de Gabinete da Secretaria de Planejamento
132306,CJS-4,Assessor da Central de Distribuicao do 2º Grau
132772,CJS-4,Assessor Tecnico Administrativo da Secretaria de Administracao
135305,CJS-4,Assessor Juridico da Secretaria de Administracao
138584,CJS-3,Assessor da Secretaria de Administracao
138843,CJS-3,Assessor Tecnico do Departamento Academico da EJPA
139564,CJS-3,CHEFE DO DEPTO. ADMINISTRATIVO (JME)
141038,CJS-4,Assessor Juridico Administrativo da Secretaria de Gestao de Pessoas
141089,CJS-3,Chefe da Divisao de Desenvolvimento e Avaliacao de Pessoal
143014,CJI,Assistente da Coordenadoria Geral de Arrecadacao
143171,CJS-3,Assessor Tecnico Administrativo da Secretaria de Engenharia e Arquitetura
147303,CJS-4,Assessor Tecnico Administrativo da Secretaria de Engenharia e Arquitetura
147338,CJS-3,Assessor Tecnico da Coordenadoria de Saude
147460,CJS-4,Assistente Tecnico Administrativo da Secretaria de Administracao
147494,CJI,Assistente da Assessoria de Cerimonial
147559,CJS-3,ASSESSOR JUDICIARIO (JME)
147591,CJS-3,Assessor Tecnico Administrativo da Coordenadoria de Imprensa
147613,CJS-3,Subcoordenador de Imprensa
147826,CJS-3,Assessor Tecnico do Departamento de Ensino de Pesquisa da EJPA
148873,CJI,Assistente do Departamento Financeiro
149632,CJS-4,Assessor da Secretaria de Administracao
149764,CJS-4,Assessor Tecnico Administrativo da Secretaria de Engenharia e Arquitetura
149772,CJS-3,Chefe da Divisao de Obras
150584,CJS-2,Assessor da Central de Distribuicao do 2º Grau
153524,CJI,Assistente de Gabinete da Secretaria de Planejamento
154733,CJS-7,Secretario-Geral da Escola Judicial do Para
155551,CJS-4,Assessor dos Juizados Especiais
155756,CJS-3,Assessor Tecnico do Departamento Academico da EJPA
156001,CJS-4,Assessor(a) Juridico(a) da Corregedoria Geral de Justica
158682,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
159328,CJS-4,Assessor de Planejamento
161497,CJS-3,Chefe da Divisao de Infraestrutura - EJPA
162914,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
168769,CJS-4,Assessor Tecnico Administrativo - CI
169188,CJI,Assistente da Coordenadoria de Cerimonial
173762,CJS-5,Chefe de Gabinete da Corregedoria-Geral de Justiça
174467,CJS-4,Assessor de Juiz Auxiliar da Presidencia
174513,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
174530,CJS-3,Assessor Administrativo da Vice-Presidencia
174564,CJS-5,Assessor Especial da Presidencia
174581,CJS-3,Chefe da Divisao Pedagogica - EJPA
174611,CJS-8,Secretario de Engenharia e Arquitetura
174629,CJS-4,Assessor(a)
174653,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
174726,CJS-3,Chefe da Divisao de Ensino e Pesquisa - EJPA
174971,CJI,Assistente de Gabinete da Secretaria de Gestao de Pessoas
178098,CJS-3,Chefe da Divisao de Suprimentos
184179,CJS-3,Assessor Tecnico-Administrativo do Departamento Financeiro
185981,CJS-3,Chefe da Divisao de Saude e Qualidade de Vida
186058,CJI,Assistente Judiciario da Ouvidoria Agraria
191736,CJS-5,Diretor do Departamento de Ensino e Pesquisa - EJPA
191841,CJI,Assistente da Coordenadoria de Administracao de Pessoal e Pagamento
191981,CJS-4,Coordenador de Gestao de Processos e Riscos
192457,CJS-3,Chefe da Divisao Administrativa da Corregedoria-Geral de Justica
193208,CJS-3,CHEFE DO DEPTO. DOCUMENTACAO E INFORMACAO (JME)
194751,CJS-3,Assessor Tecnico Administrativo da Secretaria de Gestao de Pessoas
194930,CJS-3,Chefe da Divisao de Projetos
196037,CJS-3,Assessor Tecnico do Departamento de Ensino de Pesquisa da EJPA
196070,CJS-3,Assessor da Ouvidoria Agraria
200379,CJS-4,Assessor Juridico Administrativo da Secretaria de Administracao
208205,CJS-4,Assessor da Presidencia
208531,CJS-3,Chefe da Divisao de Compras
208591,CJS-3,Assessor Administrativo da Coordenadoria Geral de Arrecadacao
208990,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
209015,CJI,Assistente de Gabinete da Secretaria de Administracao
209112,CJS-3,Assessor Tecnico da Secretaria Geral da EJPA
209244,CJS-3,Assessor Tecnico do Departamento Academico da EJPA
211729,CJI,Assistente do Departamento de Documentacao e Informacao
212016,CJS-4,Assessor(a)
212032,CJS-3,Assessor Tecnico Administrativo da Coordenadoria de Imprensa
215686,CJI,Assistente Judiciario da Ouvidoria Agraria
216763,CJS-3,Assessor Tecnico Administrativo da Secretaria de Gestao de Pessoas
217573,CJS-3,Assessor Tecnico da Secretaria Geral da EJPA
223034,CJI,Assistente da Secretaria de Engenharia e Arquitetura
223115,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
226050,CJS-3,Secretario do Forum da Comarca de Ananindeua
227927,CJS-4,Assessor Especial da Presidência
227935,CJS-3,Chefe da Divisao - CI
227943,CJS-3,Chefe da Divisao de Recursos Financeiros e Contabeis - EJPA
227978,CJS-4,Assessor(a)
228001,CJI,Assistente do Departamento de Comunicacao
228036,CJI,Assistente Judiciario da Ouvidoria Agraria
228095,CJS-3,Chefe da Divisao de Registro e Controle - EJPA
228117,CJS-4,Assessor da Central de Distribuicao do 2º Grau
228125,CJS-4,Assessor de Planejamento
228133,CJS-4,Assessor Tecnico-Juridico da Secretaria de Planejamento
228141,CJS-3,Chefe da Divisao de Suporte das Atividades Judiciaria Administrativa da Vice-Presidencia
228168,CJI,Assistente da Coordenadoria de Recursos Extraordinarios e Especiais
228206,CJI,Assistente de Gabinete da Secretaria de Administracao
228214,CJI,Assistente da Divisao de Transportes
228231,CJS-4,Assessor da Secretaria de Administracao
228257,CJS-3,Assessor Administrativo da Secretaria de Administracao
228273,CJS-4,Coordenador de Atendimento ao Usuario
228290,CJS-3,Assessor da Coordenadoria de Cerimonial
228311,CJS-3,Assessor Tecnico Administrativo da Secretaria de Engenharia e Arquitetura
228371,CJS-4,Assessor Juridico da Secretaria de Planejamento
228443,CJS-4,Assessor de Planejamento
228532,CJS-2,Assessor da Central de Distribuicao do 2 Grau
228559,CJS-3,Chefe da Divisao de Informatica - EJPA
228869,CJS-3,Chefe da Divisao de Biblioteca e Videoteca - EJPA
229628,CJS-4,Assessor(a) Tecnico-Administrativo(a) da Corregedoria-Geral de Justica
229636,CJS-4,Assessor Juridico da Central de Distribuicao do 2º Grau
230511,CJS-3,Chefe da Divisao das Atividades Extrajudiciais da Corregedoria-Geral de Justica
230545,CJS-4,Assessor Juridico da Central de Distribuicao do 2º Grau
230898,CJS-4,Coordenador de Imprensa
231401,CJS-3,Assessor Tecnico do Departamento Administrativo / Financeiro da EJPA
231681,CJI,Assistente da Divisao de Contabilidade
232157,CJS-3,Assessor Juridico do Forum Criminal
232548,CJS-3,ASSESSOR JUDICIARIO (JME)
232858,CJS-4,Assessor(a)
234630,CJI,Assistente da SETIC
234958,CJI,Assistente da Divisao de Desenvolvimento e Avaliacao de Pessoal
35661,CJS-3,Assessor Tecnico Administrativo do Departamento de Comunicacao
41040,CJS-3,Assessor Tecnico da Secretaria de Administracao
44539,CJS-4,Assessor Tecnico Administrativo da Secretaria de Engenharia e Arquitetura
46019,CJS-4,Coordenador da Coordenadoria de Gestao Sustentavel
48020,CJI,Assistente da Divisao Financeira
54690,CJS-3,Secretario do Nucleo de Gestao de Conflitos Fundiarios
55891,CJS-3,Assessor Juridico Administrativo da Secretaria de Gestao de Pessoas
58238,CJS-4,Assessor Tecnico Administrativo da Secretaria de Gestao de Pessoas
61077,CJS-4,Assessor Tecnico-Juridico da Secretaria de Planejamento
65757,CJS-3,Assessor Administrativo da Secretaria de Planejamento
71862,CJS-4,Assessor da Presidencia
73342,CJS-6,Chefe de Gabinete da Presidencia
74616,CJS-4,Assessor da Presidencia
74942,CJS-3,Assessor da Secretaria de Gestao de Pessoas
75019,CJS-3,Assessor Tecnico-Administrativo do Departamento Financeiro
75175,CJS-4,Assessor Tecnico da Secretaria de Administracao
75850,CJS-3,Secretario da Coordenadoria dos Juizados Especiais
77941,CJS-4,Assessor Juridico da Vice-Presidencia
92754,CJS-3,Chefe da Divisao de Editoracao e Publicacao - EJPA
93882,CJS-4,Assessor da Secretaria de Administracao
95354,CJS-3,Assessor da Ouvidoria Agraria
95796,CJS-5,Diretor do Departamento Academico - EJPA
96504,CJS-4,Assessor dos Juizados Especiais
97837,CJS-3,Assessor Tecnico da Coordenadoria de Saude
97896,CJS-3,Assessor Tecnico do Departamento Administrativo / Financeiro da EJPA
97926,CJI,Assistente
97951,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
97977,CJI,Assistente de Gabinete da Secretaria de Gestao de Pessoas
98051,CJS-3,Chefe da Divisao de Contabilidade
98108,CJS-4,Assessor Juridico da Secretaria de Administracao
98124,CJS-4,Assessor da Secretaria de Gestao de Pessoas
98132,CJS-4,Assessor Juridico do Departamento Financeiro
98159,CJS-3,Assessor Tecnico da Divisao de Acompanhamento e Controle de Arrecadacao dos Servicos Judiciais
98221,CJS-3,Assessor Tecnico da Divisao de Acompanhamento e Controle de Arrecadacao dos Servicos Extrajudiciais
98396,CJS-3,Assessor Tecnico Administrativo da Secretaria de Engenharia e Arquitetura
99864,CJS-3,Chefe da Divisao de Apoio Tecnico Juridico
