Matrícula,Código,Cargo/Função
113450,CJS-4,Coordenador Militar
120324,CJS-1,Assessor Militar
126314,CJS-3,Chefe da Divisao de Auditorias
139416,CJS-4,Coordenador de Cerimonial
150011,CJS-2,Sub-Coordenador Militar
155527,CJS-8,"Secretario de Planejamento, Coordenacao e Financas"
183318,CJS-4,Assessor(a)
186066,CJS-1,Assessor Militar
187445,FG-2,Chefe de Servico de Escritório de Projetos de TIC
190748,CJS-1,Assessor Militar
191868,CJS-2,CHEFE DA ASSISTENCIA MILITAR (JME)
192317,CJS-2,Sub-Coordenador Militar
209155,CJS-1,Assessor Militar
214124,CJS-3,Chefe da Divisao de Arquivo
228249,CJS-6,Secretario Adjunto da Secretaria de Administracao
228478,CJS-4,Assessor Tecnico Administrativo da Secretaria de Gestao de Pessoas
228605,CJS-1,Assessor Militar
228915,CJS-1,Assessor Militar
228923,CJS-1,Assessor Militar
228958,CJS-1,Assessor Militar
228974,CJS-1,Assessor Militar
232963,CJS-4,Assessor da Central de Distribuicao do 2º Grau
233609,CJI,Assistente de Gabinete da Secretaria de Administracao
234486,FG-2,Chefe do Servico de Registro e Execucao de Atendimentos
235113,CJS-1,Assessor Militar da Justica Militar
37338,CJS-1,Assessor Militar
40060,CJS-4,Assessor Tecnico-Administrativo do Departamento Financeiro
49433,FG-2,Chefe do Servico de Pagamento de Magistrados
59480,FG-1,Chefe da Secao de Almoxarifado dos Foruns da Capital
