Matrícula,Código,Cargo/Função
100064,CJS-1,Chefe da URA-FRJ - 2RJ-Tome-Acu
100234,CJS-2,Assessor de Juiz da Vara Unica de Moju
100421,CJI,Chefe da Unidade Local de Arrecadacao - Ourem
101133,CJI,Chefe da Unidade Local de Arrecadacao - Tailandia
101150,CJI,Chefe da Unidade Local de Arrecadacao - Baiao
101443,CJI,Chefe da Unidade Local de Arrecadacao - Sao Joao do Araguaia
102121,CJS-2,Assessor de Juiz da 2ª Turma Recursal Permanente dos Juizados Especiais
102482,CJI,Chefe da Unidade Local de Arrecadacao - Sao Francisco do Para
102555,CJS-2,Assessor de Juiz da Vara Unica de Augusto Correa
102563,CJS-2,"Assessor de Juiz da 5ª Vara da Faz Pub dos Direitos Difusos, Coletivos e Indiv Homogeneos de Belem"
103195,CJI,Chefe da Unidade Local de Arrecadacao - Salinopolis
103632,CJI,Chefe da Unidade Local de Arrecadacao - Aurora do Para
104027,CJS-2,Assessor de Juiz da 7ª Vara Criminal de Belem
104981,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Belem
104990,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Castanhal
105287,CJS-2,Assessor de Juiz da 1ª Vara de Execucao Fiscal de Belem
105406,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Altamira
105473,CJS-2,Assessor de Juiz da Vara Unica de Sao Miguel do Guama
105881,CJI,Chefe da Unidade Local de Arrecadacao - Mocajuba
107042,CJS-2,Assessor de Juiz da Vara de Juizado Especial Civel e Criminal de Conceicao do Araguaia
110141,CJS-2,Assessor de Juiz da Vara Unica de Ruropolis
110329,CJI,Chefe da Unidade Local de Arrecadacao - Rondon do Para
110345,CJI,Chefe da Unidade Local de Arrecadacao - Ruropolis
110680,CJS-2,Assessor de Juiz da Vara de Crimes contra Criancas e Adolescentes de Belem
112101,CJI,Chefe da Unidade Local de Arrecadacao - Moju
112283,CJS-1,Chefe da URA-FRJ - 5RJ-Capanema
112461,CJS-2,Assessor de Juiz da Vara de Familia Distrital de Icoaraci
112801,CJS-2,Assessor de Juiz da Turma Recursal Permanente dos Juizados Especiais da Fazenda Publica
112828,CJS-3,Assessor da Ouvidoria Agraria
113328,CJS-2,Assessor de Juiz da 1ª Vara Criminal Distrital de Icoaraci
114472,CJS-2,Assessor de Juiz da 3ª Vara de Execucao Fiscal de Belem
114588,CJI,Chefe da Unidade Local de Arrecadacao - Inhangapi
115037,CJS-2,Assessor de Juiz da 3ª Turma Recursal Permanente dos Juizados Especiais
118354,CJS-2,Assessor de Juiz da 1ª Turma Recursal Permanente dos Juizados Especiais
121118,CJS-2,Assessor de Juiz da 1ª Vara do Juizado Especial Criminal de Belem
122441,CJS-2,Assessor de Juiz da 10ª Vara Criminal de Belem
124907,CJI,Chefe da Unidade Local de Arrecadacao - Santarem Novo
127167,CJS-2,Assessor de Juiz da Vara Agraria de Altamira
131504,CJS-2,Assessor de Juiz da Vara de Combate ao Crime Organizado de Belem
132195,CJS-3,ASSESSOR JUDICIARIO (JME)
132276,CJS-3,ASSESSOR JUDICIARIO (JME)
134325,CJS-2,Assessor de Juiz da 1ª Vara de Familia de Belem
134538,CJS-2,Assessor de Juiz da Vara da Fazenda Publica e Execucao Fiscal de Parauapebas
139971,CJS-2,Assessor de Juiz da 15ª Vara Civel e Empresarial da Capital
140023,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Parauapebas
141054,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Paragominas
141593,CJS-2,Assessor de Juiz da 4ª Vara do Juizado Especial Civel de Belem
142409,CJS-2,Assessor de Juiz da 3ª Turma Recursal Permanente dos Juizados Especiais
143693,CJS-2,Assessor de Juiz da Vara Unica de Monte Alegre
144541,CJS-2,Assessor de Juiz da Vara Unica de Santo Antonio do Taua
144690,CJS-2,Assessor de Juiz da 1ª Vara Criminal de Santarem
144843,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Marituba
144894,CJS-2,Assessor de Juiz da 1ª Vara da Fazenda Publica de Ananindeua
145076,CJI,Chefe da Unidade Local de Arrecadacao - Breu Branco
146226,CJI,Chefe da Unidade Local de Arrecadacao - Medicilandia
146439,CJS-2,Assessor de Juiz da Vara do Tribunal do Juri de Ananindeua
146510,CJS-2,Assessor de Juiz da 3ª Vara Criminal de Belem
146552,CJS-2,Assessor de Juiz da 1ª Vara de Violencia Domestica e Familiar contra a Mulher de Belem
147141,CJS-2,Assessor de Juiz da 1ª Vara Criminal de Ananindeua
147150,CJS-2,Assessor de Juiz da Vara Criminal de Benevides
147168,CJS-2,Assessor de Juiz da Vara do Juizado Especial Civel de Icoaraci
147281,CJS-2,Assessor de Juiz da 7ª Vara do Juizado Especial Civel de Belem
147397,CJS-2,Assessor de Juiz da Vara Unica de Nova Timboteua
147516,CJS-2,Assessor de Juiz da Vara Unica de Porto de Moz
147541,CJS-2,Assessor de Juiz da Vara Unica de Salinopolis
147605,CJS-2,Assessor de Juiz da Vara do Juizado Especial Criminal de Icoaraci
147621,CJS-2,Assessor de Juiz da Vara do Juizado Especial de Santa Izabel do Para
147648,CJS-2,Assessor de Juiz da Vara Unica de Ponta de Pedras
147664,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Barcarena
148725,CJS-2,Assessor de Juiz da Vara do Juizado Especial Civel e Criminal de Paragominas
148865,CJS-2,Assessor de Juiz da 4ª Vara de Juizado de Violencia Domestica e Familiar Contra a Mulher da Comarca de Belem
148881,CJI,Chefe da Unidade Local de Arrecadacao - Jacareacanga
149985,CJI,Chefe da Unidade Local de Arrecadacao - Afua
149993,CJS-1,Chefe da URA-FJR - 13RJ-Redencao
