Matrícula,Titulado em
36840,10ª Vara Civel e Empresarial da Comarca de Belem
24490,10ª Vara Criminal da Comarca de Belem
24392,10ª Vara do Juizado Especial Civel de Belem
55786,11ª Vara Civel e Empresarial da Comarca de Belem
37930,11ª Vara do Juizado Especial Civel de Belem
2615,12ª Vara do Juizado Especial Civel de Belem
8001,13ª Vara Civel e Empresarial da Comarca de Belem
25739,14ª Vara Civel e Empresarial da Comarca de Belem
30252,15ª Vara Civel e Empresarial da Capital
148962,1ª Vara Civel da Comarca de Rondon do Para
82678,1ª Vara Civel e Empresarial da Comarca de Abaetetuba
116220,1ª Vara Civel e Empresarial da Comarca de Altamira
149152,1ª Vara Civel e Empresarial da Comarca de Barcarena
37265,1ª Vara Civel e Empresarial da Comarca de Belem
82716,1ª Vara Civel e Empresarial da Comarca de Benevides
149381,1ª Vara Civel e Empresarial da Comarca de Braganca
116386,1ª Vara Civel e Empresarial da Comarca de Canaa dos Carajas
113425,1ª Vara Civel e Empresarial da Comarca de Capanema
149420,1ª Vara Civel e Empresarial da Comarca de Castanhal
190306,1ª Vara Civel e Empresarial da Comarca de Itaituba
60100,1ª Vara Civel e Empresarial da Comarca de Marituba
113638,1ª Vara Civel e Empresarial da Comarca de Paragominas
82899,1ª Vara Civel e Empresarial da Comarca de Parauapebas
190420,1ª Vara Civel e Empresarial da Comarca de Redencao
82791,1ª Vara Civel e Empresarial da Comarca de Santa Izabel do Para
116106,1ª Vara Civel e Empresarial da Comarca de Tucurui
151122,1ª Vara Civel e Empresarial da Comarca de Xinguara
55700,1ª Vara Civel e Empresarial Distrital de Icoaraci
197025,1ª Vara Criminal da Comarca de Altamira
30171,1ª Vara Criminal da Comarca de Belem
113620,1ª Vara Criminal da Comarca de Castanhal
113573,1ª Vara Criminal da Comarca de Parauapebas
136573,1ª Vara Criminal da Comarca de Rondon do Para
30155,1ª Vara Criminal Distrital de Icoaraci
190101,1ª Vara Cumulativa da Comarca de Breves
151173,1ª Vara Cumulativa da Comarca de Cameta
167274,1ª Vara da Comarca de Tailandia
6440,1ª Vara da Infancia e Juventude da Comarca de Belem
7005,1ª Vara de Crimes contra a Dignidade Sexual de Criancas e Adolescentes de Belem
37120,1ª Vara de Execucao Fiscal da Comarca de Belem
37040,1ª Vara de Familia da Comarca de Belem
48780,1ª Vara de Juiz(a) das Garantias das Comarcas do Interior
55794,1ª Vara de Juizado Especial Civel e Criminal da Comarca de Tucurui
24252,1ª Vara de Violencia Domestica e Familiar contra a Mulher da Comarca de Belem
36781,1ª Vara do Juizado Especial Civel de Ananindeua
37000,1ª Vara do Juizado Especial Civel de Belem
60160,1ª Vara do Juizado Especial Civel e Criminal de Maraba
20107,1ª Vara do Juizado Especial Criminal de Belem
37980,1ª Vara do Juizado Especial da Fazenda Publica de Belem
20121,1ª Vara do Tribunal do Juri da Comarca de Belem
82732,2ª Vara Civel e Empresarial da Comarca de Abaetetuba
190390,2ª Vara Civel e Empresarial da Comarca de Altamira
37880,2ª Vara Civel e Empresarial da Comarca de Barcarena
6947,2ª Vara Civel e Empresarial da Comarca de Belem
82643,2ª Vara Civel e Empresarial da Comarca de Benevides
83151,2ª Vara Civel e Empresarial da Comarca de Braganca
113646,2ª Vara Civel e Empresarial da Comarca de Canaa dos Carajas
37030,2ª Vara Civel e Empresarial da Comarca de Capanema
82830,2ª Vara Civel e Empresarial da Comarca de Castanhal
197165,2ª Vara Civel e Empresarial da Comarca de Itaituba
39320,2ª Vara Civel e Empresarial da Comarca de Marituba
149314,2ª Vara Civel e Empresarial da Comarca de Paragominas
38050,2ª Vara Civel e Empresarial da Comarca de Parauapebas
116521,2ª Vara Civel e Empresarial da Comarca de Redencao
82759,2ª Vara Civel e Empresarial da Comarca de Santa Izabel do Para
82929,2ª Vara Civel e Empresarial da Comarca de Tucurui
37940,2ª Vara Civel e Empresarial Distrital de Icoaraci
37100,2ª Vara Criminal da Comarca de Ananindeua
29327,2ª Vara Criminal da Comarca de Belem
149241,2ª Vara Criminal da Comarca de Castanhal
197033,2ª Vara Criminal da Comarca de Itaituba
113361,2ª Vara Criminal da Comarca de Parauapebas
