Matrícula,Código,Cargo/Função
101869,CJS-3,Diretor de Secretaria da 1ª Vara Civel e Empresarial de Tucurui
102300,CJS-3,Diretor de Secretaria da Vara do Juizado Especial de Relacao de Consumo de Santarem - UFOPA
102598,CJS-3,Diretor de Secretaria 3VCri-Coord Nucleo de Atendim da UPJ-Varas Criminais de Santarem
103349,CJS-3,Diretor de Secretaria da 3ª Vara Civel e Empresarial de Paragominas
103454,CJS-3,Diretor de Secretaria da 2ª Vara do Juizado Especial da Fazenda Publica de Belem
103802,CJS-3,Diretor de Secretaria da Vara do Juizado Especial Civel e Criminal de Parauapebas
104639,CJS-3,Diretor de Secretaria da 1ª Vara Civel e Empresarial de Ananindeua
105155,CJS-3,Diretor de Secretaria da 4ª Vara Criminal de Belem
105210,CJS-3,Diretor de Secretaria da 2ª Vara de Familia de Belem
105244,CJS-3,Diretor de Secretaria Justica Militar
105422,CJS-2,Assessor de Juiz da Vara Unica de Sao Joao do Araguaia
105619,CJS-3,Diretor de Secretaria da Vara de Combate ao Crime Organizado de Belem
105694,CJS-3,Diretor de Secretaria da Vara de Violencia Domestica e Familiar contra a Mulher de Maraba
106097,CJS-3,Diretor de Secretaria da 3ª Vara da Infancia e Juventude de Belem
106828,CJS-3,Diretor de Secretaria 1VCri-Secretario Geral da UPJ das Varas Criminais de Parauapebas
107531,CJS-3,Diretor de Secretaria da 1ª Vara de Juiz(a) das Garantias das Comarcas do Interior
108031,CJS-3,Diretor de Secretaria da Vara Unica de Moju
108111,CJS-3,Diretor de Secretaria da Vara da Fazenda Publica de Ananindeua
108383,CJS-3,Diretor de Secretaria da 1ª Vara Criminal de Altamira
108448,CJS-3,Diretor de Secretaria 15VCE-Secretario Geral da UPJ-Varas Civ e Empresariais (12ª a 15ª)
108499,CJS-3,Diretor de Secretaria da 3ª Vara do Juizado Especial Civel de Belem
109517,CJS-3,Diretor de Secretaria da Vara Unica de Monte Alegre
109738,CJS-2,Assessor de Juiz da Vara Agraria de Redencao
109801,CJS-2,Assessor de Juiz da 6ª Vara Criminal de Belem
110060,CJI,Chefe da Unidade Local de Arrecadacao - Parauapebas
