Matrícula,Código,Cargo/Função
100064,CJS-1,Chefe da URA-FRJ - 2RJ-Tome-Acu
100234,CJS-2,Assessor de Juiz da Vara Unica de Moju
100285,CJI,Assistente de Desembargador
100421,CJI,Chefe da Unidade Local de Arrecadacao - Ourem
100765,FG-2,"Chefe de Servico de Registro, Acompanhamento e Controle da Atividade Extrajudicial - CGJ"
101133,CJI,Chefe da Unidade Local de Arrecadacao - Tailandia
101150,CJI,Chefe da Unidade Local de Arrecadacao - Baiao
101206,CJS-3,Chefe da Divisao de Informacao e Protocolo
101397,CJS-6,Coordenador de Gabinete
101443,CJI,Chefe da Unidade Local de Arrecadacao - Sao Joao do Araguaia
101869,CJS-3,Diretor de Secretaria da 1ª Vara Civel e Empresarial de Tucurui
102067,CJS-3,Chefe da Divisao de Apoio Tecnico e Juridico da Coordenadoria de Precatorios
102121,CJS-2,Assessor de Juiz da 2ª Turma Recursal Permanente dos Juizados Especiais
102300,CJS-3,Diretor de Secretaria da Vara do Juizado Especial de Relacao de Consumo de Santarem - UFOPA
102474,FG-2,Chefe do Servico Medico
102482,CJI,Chefe da Unidade Local de Arrecadacao - Sao Francisco do Para
102555,CJS-2,Assessor de Juiz da Vara Unica de Augusto Correa
102563,CJS-2,"Assessor de Juiz da 5ª Vara da Faz Pub dos Direitos Difusos, Coletivos e Indiv Homogeneos de Belem"
102598,CJS-3,Diretor de Secretaria 3VCri-Coord Nucleo de Atendim da UPJ-Varas Criminais de Santarem
103195,CJI,Chefe da Unidade Local de Arrecadacao - Salinopolis
103349,CJS-3,Diretor de Secretaria da 3ª Vara Civel e Empresarial de Paragominas
103365,CJS-6,Assessor(a) de Desembargador(a)
103420,CJS-6,Assessor(a) de Desembargador
103454,CJS-3,Diretor de Secretaria da 2ª Vara do Juizado Especial da Fazenda Publica de Belem
103616,CJS-6,Coordenador(a) de Gabinete
103632,CJI,Chefe da Unidade Local de Arrecadacao - Aurora do Para
103691,CJS-6,Assessor(a) de Desembargador(a)
103802,CJS-3,Diretor de Secretaria da Vara do Juizado Especial Civel e Criminal de Parauapebas
104027,CJS-2,Assessor de Juiz da 7ª Vara Criminal de Belem
104426,FG-2,Chefe de Servico de Conformidade de Processos de TIC
104434,CJS-4,"Assessor do Departamento de Planejamento, Gestao e Estatistica"
104442,CJI,Assistente de Desembargador
104507,CJS-6,Assessor de Desembargador
104639,CJS-3,Diretor de Secretaria da 1ª Vara Civel e Empresarial de Ananindeua
104981,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Belem
104990,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Castanhal
105155,CJS-3,Diretor de Secretaria da 4ª Vara Criminal de Belem
105180,CJS-6,Assessor de Desembargador
105210,CJS-3,Diretor de Secretaria da 2ª Vara de Familia de Belem
105244,CJS-3,Diretor de Secretaria Justica Militar
105287,CJS-2,Assessor de Juiz da 1ª Vara de Execucao Fiscal de Belem
105406,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Altamira
105422,CJS-2,Assessor de Juiz da Vara Unica de Sao Joao do Araguaia
105473,CJS-2,Assessor de Juiz da Vara Unica de Sao Miguel do Guama
105619,CJS-3,Diretor de Secretaria da Vara de Combate ao Crime Organizado de Belem
105635,CJS-3,Chefe de Divisao de Arquitetura de Tecnologia da Informacao e Comunicacao
105694,CJS-3,Diretor de Secretaria da Vara de Violencia Domestica e Familiar contra a Mulher de Maraba
105864,FG-2,Chefe do Servico de Informatica da EJPA
105881,CJI,Chefe da Unidade Local de Arrecadacao - Mocajuba
106097,CJS-3,Diretor de Secretaria da 3ª Vara da Infancia e Juventude de Belem
106828,CJS-3,Diretor de Secretaria 1VCri-Secretario Geral da UPJ das Varas Criminais de Parauapebas
107042,CJS-2,Assessor de Juiz da Vara de Juizado Especial Civel e Criminal de Conceicao do Araguaia
107476,CJS-6,Assessor de Desembargador
107531,CJS-3,Diretor de Secretaria da 1ª Vara de Juiz(a) das Garantias das Comarcas do Interior
107565,FG-2,Chefe do Servico de Concessao de Diarias e Passagens Aereas
107590,CJS-6,Coordenador de Gabinete
107638,CJS-6,Assessor(a) de Desembargador(a)
108031,CJS-3,Diretor de Secretaria da Vara Unica de Moju
108111,CJS-3,Diretor de Secretaria da Vara da Fazenda Publica de Ananindeua
108383,CJS-3,Diretor de Secretaria da 1ª Vara Criminal de Altamira
108448,CJS-3,Diretor de Secretaria 15VCE-Secretario Geral da UPJ-Varas Civ e Empresariais (12ª a 15ª)
108499,CJS-3,Diretor de Secretaria da 3ª Vara do Juizado Especial Civel de Belem
108502,CJS-6,Assessor de Desembargador
108987,CJI,Assistente de Desembargador
108995,CJS-3,Assessor Tecnico da Presidencia
109291,CJS-6,Assessor de Desembargador
109444,FG-2,Chefe do Servico de Editoracao e Pesquisa - EJPA
109517,CJS-3,Diretor de Secretaria da Vara Unica de Monte Alegre
109649,CJI,Assistente de Desembargador
109738,CJS-2,Assessor de Juiz da Vara Agraria de Redencao
109801,CJS-2,Assessor de Juiz da 6ª Vara Criminal de Belem
110060,CJI,Chefe da Unidade Local de Arrecadacao - Parauapebas
110124,FG-2,Chefe do Servico de Analise de Processos
110141,CJS-2,Assessor de Juiz da Vara Unica de Ruropolis
110248,CJS-6,Assessor de Desembargador
110272,CJI,Chefe da Unidade Local de Arrecadacao - Curionopolis
110329,CJI,Chefe da Unidade Local de Arrecadacao - Rondon do Para
110337,CJS-2,"Assessor de Juiz da Vara de Familia, Sucessao e Registros Publicos da Comarca de Maraba"
110345,CJI,Chefe da Unidade Local de Arrecadacao - Ruropolis
110370,CJS-3,Diretor de Secretaria da Vara Unica de Santa Maria do Para
110663,CJS-2,Assessor de Juiz da 3ª Vara do Juizado Especial Civel de Ananindeua
